course_id,course_title,platform,skills
1,Introduction to Python,Coursera,"Python, Programming, Data Analysis"
2,Advanced Machine Learning,Udemy,"Machine Learning, AI, Python"
3,Web Development Bootcamp,edX,"HTML, CSS, JavaScript, Web Development"
4,Data Science for Beginners,Coursera,"Data Science, Python, Statistics"
5,JavaScript Essentials,Udemy,"JavaScript, Web Development, Frontend"
6,Deep Learning Specialization,Coursera,"Deep Learning, AI, TensorFlow"
7,Data Structures and Algorithms,edX,"Algorithms, Data Structures, Problem Solving"
8,SQL for Data Science,Udemy,"SQL, Databases, Data Science"
9,Full-Stack Web Development,Coursera,"HTML, CSS, JavaScript, Backend"
10,Natural Language Processing,Udemy,"NLP, AI, Python"
11,Cloud Computing Basics,edX,"Cloud Computing, AWS, Azure"
12,React - The Complete Guide,Udemy,"React, JavaScript, Frontend"
13,Introduction to Blockchain,Coursera,"Blockchain, Cryptocurrency, Bitcoin"
14,Python for Data Science,Coursera,"Python, Data Science, Machine Learning"
15,Data Engineering on Google Cloud,edX,"Data Engineering, Google Cloud, Big Data"
16,AI for Everyone,Coursera,"AI, Machine Learning, Artificial Intelligence"
17,Mobile App Development,Udemy,"Android, iOS, Java, Swift"
18,Ethical Hacking for Beginners,edX,"Hacking, Cybersecurity, Ethical Hacking"
19,Java Programming Masterclass,Udemy,"Java, Object-Oriented Programming, Software Development"
20,Financial Markets,Coursera,"Finance, Investments, Stock Markets"
21,Design Thinking for Innovation,Coursera,"Design Thinking, Innovation, Problem Solving"
22,Full-Stack React with Node.js,Udemy,"React, Node.js, JavaScript, Backend"
23,Machine Learning with Python,edX,"Machine Learning, Python, Data Science"
24,The Complete iOS App Developer,Udemy,"iOS, Swift, Mobile Development"
25,Cybersecurity Basics,Coursera,"Cybersecurity, Network Security, Encryption"
26,DevOps Essentials,edX,"DevOps, CI/CD, Jenkins, Docker"
27,Mathematics for Data Science,Coursera,"Mathematics, Linear Algebra, Statistics"
28,Big Data Analysis on AWS,Udemy,"Big Data, AWS, Data Processing"
29,Cloud Architecture,Coursera,"Cloud Architecture, AWS, Azure"
30,SEO Mastery,Udemy,"SEO, Marketing, Web Optimization"
31,Introduction to R,Coursera,"R Programming, Data Analysis, Statistics"
32,Blockchain and Cryptocurrency,edX,"Blockchain, Cryptocurrency, Smart Contracts"
33,The Complete SQL Bootcamp,Udemy,"SQL, Databases, MySQL, PostgreSQL"
34,TensorFlow for Deep Learning,Coursera,"TensorFlow, AI, Deep Learning"
35,Advanced Cybersecurity,Udemy,"Cybersecurity, Ethical Hacking, Network Security"
36,Artificial Intelligence with Python,edX,"AI, Python, Data Science"
37,Docker and Kubernetes Masterclass,Udemy,"Docker, Kubernetes, DevOps"
38,Python Data Visualization,edX,"Python, Data Visualization, Matplotlib"
39,Complete JavaScript Bootcamp,Coursera,"JavaScript, Frontend, Web Development"
40,Data Science with R,edX,"R Programming, Data Science, Statistics"
41,Advanced Android Development,Udemy,"Android, Java, Mobile Development"
42,Artificial Intelligence in Healthcare,Coursera,"AI, Healthcare, Machine Learning"
43,Complete Blockchain Developer,Udemy,"Blockchain, Smart Contracts, Ethereum"
44,Programming for Everybody,Coursera,"Python, Programming, Computer Science"
45,Machine Learning with TensorFlow,Udemy,"Machine Learning, TensorFlow, Python"
46,Introduction to Marketing,Coursera,"Marketing, Digital Marketing, SEO"
47,Data Mining with Python,Udemy,"Data Mining, Python, Data Science"
48,Java Design Patterns,Udemy,"Java, Design Patterns, Object-Oriented Programming"
49,Introduction to Kubernetes,edX,"Kubernetes, Docker, DevOps"
50,Frontend Web Development,Udemy,"HTML, CSS, JavaScript, Frontend"
